Name,Country
DGO Jet,Mexico
DHL Aero Expreso,Panama
DHL Air,United Kingdom
DHL Aviation,South Africa
DHL International,Bahrain
DHL de Guatemala,Guatemala
DSWA,United States
Daallo Airlines,Djibouti
Dagestan Airlines,Russia
Dahla Airlines,Democratic Republic of Congo
Daimler Chrysler Aviation,Germany
Daimler-Chrysler,United States
Daka,Kazakhstan
Dala Air Services,Nigeria
Dalavia,Russia
Dallas Express Airlines,United States
Damascene Airways,Syrian Arab Republic
Danbury Airways,United States
Dancopter,Denmark
Danish Air Force,Denmark
Danish Army,Denmark
Danish Navy,Denmark
Danu Oro Transportas,Lithuania
Darta,France
Darwin Airline,Switzerland
Dasab Airlines,Uganda
Dash Air Charter,United States
Dash Aviation,United Kingdom
Dasnair,Switzerland
Dassault Aviation,France
Dassault Falcon Jet Corporation,United States
Dassault Falcon Service,France
Data International,Sudan
Date Transformation Corp,United States
Dauair,Germany
David Crawshaw Consultants Limited,United Kingdom
Dawn Air,United States
DayJet,United States
Daya Aviation,Sri Lanka
De Havilland,Canada
Deadalos Flugtbetriebs,Austria
Decatur Aviation,United States
Deccan Aviation,India
Deccan Aviation (Lanka),Sri Lanka
Deer Jet,China
Deere and Company,United States
Delaware Skyways,United States
Delta Aerotaxi,Italy
Delta Air Charter,Canada
Delta Air Elite,United States
Delta Air Lines,United States
Delta Engineering Aviation,United Kingdom
Delta Express International,Ukraine
Delta State University,United States
Denim Air,Netherlands
Denver Express,United States
Denver Jet,United States
Departmento De Agricultura De La Generalitat De Cataluna,Spain
Deraya Air Taxi,Indonesia
Des R Cargo Express,Mauritania
Desarrollo Milaz,Mexico
Destiny Air Services,Sierra Leone
Deutsche Bahn,Germany
Deutsche Rettungsflugwacht,Germany
Deutsches Zentrum fur Luft-und Raumfahrt EV,Germany
Di Air,Serbia
Diamond Aviation,United States
Didier Rousset Buy,Chile
Digital Equipment Corporation,United States
Dinar,Argentina
Diplomatic Freight Services,United Kingdom
Direccion General de Aviacion Civil y Telecomunicasciones,Spain
Direct Air,United States
Direct Air trading as Midway Connection,United States
Direct Flight,United Kingdom
Sky Express,Poland
Dirgantara Air Service,Indonesia
Discover Air,United States
Discovery Airways,United States
Dispatch Services,United States
Dix Aviation,Germany
Dixie Airways,United States
Djibouti Airlines,Djibouti
Dniproavia,Ukraine
Flying Dolphin Airlines,United Arab Emirates
Dolphin Express Airlines,United States
Dome Petroleum,Canada
Dominguez Toledo (Grupo Mayoral),Spain
Dominicana de Aviaci,Dominican Republic
Domodedovo Airlines,Russia
Don Avia,Kazakhstan
Donair Flying Club,United Kingdom
DonbassAero,Ukraine
Dorado Air,Dominican Republic
Dornier,Germany
Dornier Aviation Nigeria,Nigeria
Dos Mundos,Dominican Republic
Dragonair,DRAGON
Dreamcatcher Airways,United Kingdom
Druk Air,Bhutan
Drummond Island Air,United States
Dubai Airwing,United Arab Emirates
Dubrovnik Air,Croatia
Ducair,Luxembourg
Duchess of Britany (Jersey) Limited,United Kingdom
UK Royal/HRH Duke of York,United Kingdom
Dun'Air,Mauritania
Duncan Aviation,United States
Dunyaya Bakis Hava Tasimaciligi,Turkey
Duo Airways,United Kingdom
Durango Jet,Mexico
Dutch Antilles Express,Netherlands Antilles
Dutch Caribbean Express,Netherlands Antilles
Dutchbird,Netherlands
Dwyer Aircraft Services,United States
Dynair Services,United States
Dynamair Aviation,Canada
Dynamic Air,Netherlands
dba,Germany
E H Darby Aviation,United States
Electronic Data Systems,Switzerland
EAA Escola De Aviacao Aerocondor,Portugal
Executive Airlines Services,Nigeria
EFAOS- Agencia De Viagens e Turismo,Angola
EFD Eisele Flugdienst,Germany
EFS-Flugservice,Germany
EIS Aircraft,Germany
EPAG Groupe Air France,France
ESI Eliservizi Italiani,Italy
EU Airways,Ireland
EUjet,Ireland
EVA Air,Taiwan
Eagle Aero,United States
Eagle Air,Sierra Leone
Eagle Air,Uganda
Eagle Air Company,Thailand
Eagle Air Iceland,Iceland
Eagle Aviation,Uganda
Eagle Aviation,United Kingdom
Eagle Aviation France,France
Eagle International,Senegal
Eagle Jet Charter,United States
Eaglemed (Ballard Aviation),United States
Earth Airlines Services,Nigeria
East African,Uganda
East African Safari Air,Kenya
East African Safari Air Express,Kenya
East Asia Airlines,Macao
East Coast Airways,South Africa
East Coast Jets,United States
East Hampton Aire,United States
East Kansas City Aviation,United States
East Midlands Helicopters,United Kingdom
East Star Airlines,China
East-West Airlines,Australia
Eastern Air,Zambia
Eastern Air Executive,United Kingdom
Eastern Airways,United Kingdom
Eastern Australia Airlines,Australia
Eastern Carolina Aviation,United States
Eastern Executive Air Charter,United Kingdom
Eastern Express,Kazakhstan
Eastern Metro Express,United States
Eastern Pacific Aviation,Canada
Eastern Sky Jets,United Arab Emirates
Eastland Air,Australia
Eastwind Airlines,United States
Easy Link Aviation Services,Nigeria
Eckles Aircraft,United States
Eclipse Aviation,United States
Eco Air,Nigeria
Ecoair,Algeria
Ecomex Air Cargo,Angola
Ecotour,Mexico
Ecoturistica de Xcalak,Mexico
Ecuatoguineana De Aviacion (EGA),Equatorial Guinea
Ecuatorial Cargo,Equatorial Guinea
Ecuavia,Ecuador
Edelweiss Air,Switzerland
Edgartown Air,United States
Edinburgh Air Charter,United Kingdom
Edwards Jet Center of Montana,United States
Efata Papua Airlines,Indonesia
Egyptair,Egypt
Egyptair Cargo,Egypt
Egyptian Air Force,Egypt
Egyptian Aviation,Egypt
Egyptian Aviation Company,Egypt
Ei Air Exports,Ireland
Eirjet,Ireland
El Al Israel Airlines,Israel
El Caminante Taxi Aereo,Mexico
El Quilada International Aviation,Sudan
El Sal Air,El Salvador
El Sol De America,Venezuela
El-Buraq Air Transport,Libya
Elan Express,United States
Elbe Air Transport,Germany
Elbrus-Avia Air Enterprise,Russia
Eldinder Aviation,Sudan
Elicar,Italy
Elidolomiti,Italy
Elieuro,Italy
Elifriulia,Italy
Elilario Italia,Italy
Elilombarda,Italy
Elimediterranea,Italy
Elios,Italy
Elipiu',Italy
Elisra Airlines,Sudan
Elite Air,Togo
Elite Jets,United Arab Emirates
Elitellina,Italy
Elliott Aviation,United States
Elmagal Aviation Services,Sudan
Elrom Aviation and Investments,Israel
Embassy Airlines,Nigeria
Embassy Freight Company,United States
Empresa Brasileira De Aeronautica,Brazil
Embry-Riddle Aeronautical University,United States
Emerald Airways,United Kingdom
Emery Worldwide Airlines,United States
Emetebe,Ecuador
Emirates,United Arab Emirates
Emoyeni Air Charter,South Africa
Empire Air Service,United States
Empire Airlines,United States
Empire Aviation Services,Nigeria
Empire Test Pilots' School,United Kingdom
Empresa (Aero Uruguay),UNIFORM OSCAR
Empresa Aero-Servicios Parrague,Chile
Empresa Aerocaribbean,Cuba
Empresa Aviacion Interamericana,Uruguay
Empresa Ecuatoriana De Aviacion,Ecuador
Empresa Nacional De Servicios Aereos,Cuba
Empresa Venezolana,Venezuela
Empresa de Aviacion Aerogaviota,Cuba
Empressa Brasileira de Infra-Estrutura Aeroportuaria-Infraero,Brazil
Endecots,Ecuador
Enimex,Estonia
Enkor JSC,Russia]]
Enrique Gleisner Vivanco,Chile
Ensenada Vuelos Especiales,Mexico
Entergy Services,United States
Enterprise World Airways,Democratic Republic of the Congo
Eos Airlines,United States
Equaflight Service,Republic of the Congo
Equatair Air Services (Zambia),Zambia
Equatorial Airlines,Equatorial Guinea
Era Helicopters,United States
Eram Air,Iran
Erfoto,Portugal
Erie Airways,United States
Eritrean Airlines,Eritrea
Escuela De Pilotos Are Aviacion,Spain
Espace Aviation Services,Democratic Republic of the Congo
Esso Resources Canada,Canada
Estafeta Carga Aerea,Mexico
Estonian Air,Estonia
Estrellas Del Aire,Mexico
Ethiopian Airlines,Ethiopia
Eti 2000,Italy
Etihad Airways,United Arab Emirates
Etram Air Wing,Angola
Euraviation,Italy
Euro Continental AIE,Spain
Euro Exec Express,Sweden
Euro Sun,Turkey
Euro-Asia Air,Kazakhstan
Euro-Asia Air International,Kazakhstan
EuroAtlantic Airways,Portugal
EuroJet Aviation,United Kingdom
Euroair,Greece
Euroamerican Air,Uruguay
Euroceltic Airways,United Kingdom
Eurocontrol,Belgium
Eurocopter,France
Eurocypria Airlines,Cyprus
Eurofly,Italy
Eurofly Service,Italy
Euroguineana de Aviacion,Equatorial Guinea
Eurojet Italia,Italy
Eurojet Limited,Malta
Eurojet Romania,Romania
Eurojet Servis,Czech Republic
Eurolot,Poland
Euromanx Airways,Austria
Europe Air Lines,France
Europe Airpost,France
European 2000 Airlines,Malta
European Aeronautical Group UK,United Kingdom
European Air Express,Germany
European Air Transport,Belgium
European Aviation Air Charter,United Kingdom
European Business Jets,United Kingdom
European Coastal Airlines,Croatia
European Executive,United Kingdom
European Executive Express,Sweden
Eurosense,Bulgaria
Euroskylink,United Kingdom
Eurowings,Germany
Evergreen International Airlines,United States
Everts Air Alaska/Everts Air Cargo,United States
Examiner Training Agency,United Kingdom
Excel Airways,United Kingdom
Excel Charter,United Kingdom
Excellent Air,Germany
Execair Aviation,Canada
Execujet Charter,Switzerland
Execujet Middle East,United Arab Emirates
Execujet Scandinavia,Denmark
Executive Aerospace,South Africa
Executive Air,Zimbabwe
Executive Air Charter,United States
Executive Air Fleet,United States
Executive Aircraft Charter and Charter Services,Ireland
Executive Aircraft Services,United Kingdom
Executive Airlines,United States
Executive Airlines,Spain
Executive Aviation Services,United Kingdom
Executive Flight,United States
Executive Flight Operations Ontario Government,Canada
Executive Jet Charter,United Kingdom
Executive Jet Management,United States
Executive Turbine Aviation,South Africa
Eximflight,Mexico
Exin,Poland
Expertos En Carga,Mexico
Expo Aviation,Sri Lanka
Express Air,United States
Express International Cargo,S
Express Line Aircompany,United States
Express Net Airlines,United States
Express One International,United States
Express Tours,Canada
ExpressJet,United States
Exxavia Limited,Ireland
easyJet,United Kingdom
NetJets,United States
F.S. Air Service,United States
FAI Airservice,Germany
FINFO Flight Inspection Aircraft,United States
FLM Aviation Mohrdieck,Germany
FLTPLAN,United States
FLowair Aviation,France
FMG Verkehrsfliegerschule Flughafen Paderborn-Lippstadt,Germany
FR Aviation,United Kingdom
FSB Flugservice & Development,Germany
FSH Luftfahrtunternehmen,Germany
Fab Air,Kyrgyzstan
Facts Air,Mexico
Fair Aviation,South Africa
Fair Wind Air Charter,United Arab Emirates
Fairlines,Netherlands
Fairoaks Flight Centre,United Kingdom
Fairways Corporation,United States
Falcon Air,Sweden
Falcon Air,Slovenia
Falcon Air Express,United States
Falcon Airline,Nigeria
Falcon Aviation,Sweden
Falcon Aviation Services,United Arab Emirates
Falcon Jet Centre,United Kingdom
Falwell Aviation,United States
Far Eastern Air Transport,Taiwan
Farmingdale State University,United States
Farnair Hungary,Hungary
Farnair Netherlands,Netherlands
Farnair Switzerland,Switzerland
Farnas Aviation Services,Sudan
Faroecopter,Denmark
Faroejet,Faroe Islands
Farwest Airlines,United States
Faso Airways,Burkina Faso
Fast Helicopters,United Kingdom
Fayban Air Services,Nigeria
Fayetteville Flying Service and Scheduled Skyways System,United States
Federal Air,South Africa
Federal Airlines,Sweden
Federal Armed Forces,Germany
Federal Armored Service,United States
Federal Aviation Administration,United States
Federal Express,United States
Feniks Airline,Kazakhstan
Feria Aviacion,Spain
Fika Salaama Airlines,Uganda
Finalair Congo,Republic of the Congo
Financial Airxpress,United States
Fine Airlines,United States
Finist'air,France
Finnair,Finland
Finncomm Airlines,Finland
Finnish Air Force,Finland
Firefly,Malaysia
First Air,Canada
First Air Transport,Japan
First Cambodia Airlines,Cambodia
First Choice Airways,United Kingdom
First City Air,United Kingdom
First Flying Squadron,United States
First Line Air,Sierra Leone
First Sabre,Mexico
Fischer Air,Czech Republic
Fischer Air Polska,Poland
Flagship Express Services,United States
Flair Airlines,Canada
Flamenco Airways,United States
Flamingo Air,United States
Flamingo Air-Line,Kazakhstan
Flash Airlines,Egypt
Fleet Requirements Air Direction Unit,United Kingdom
Fleetair,South Africa
Flexair,Netherlands
Flexflight,Denmark
Flight Alaska,United States
Flight Calibration Service,Germany
Flight Centre Victoria,Canada
Flight Corporation,New Zealand
Flight Dispatch Services,Poland
Flight Express,United States
Flight Inspection Center of the General Administration of Civil Aviation in China,China
Flight Inspections and Systems,Russia
Flight International,United States
Flight Line,United States
Flight Ops International,United States
Flight Options,United States
Flight Precision Limited,United Kingdom
Flight Safety Limited,United Kingdom
Flight Support Sweden,Sweden
Flight Trac,United States
Flight Training Europe,Spain
Flight West Airlines,Australia
Flight-Ops International,Canada
Flightcraft,United States
Flightexec,Canada
Flightline,United Kingdom
Flightpass Limited,United Kingdom
Flightstar Corporation,United States
Flightworks,United States
Flint Aviation Services,United States
Florida Air,United States
Florida Coastal Airlines,United States
Florida Department of Agriculture,United States
Florida Jet Service,United States
Florida West International Airways,United States
Flugdienst Fehlhaber,Germany
Flugschule Basel,Switzerland
Flugschule Eichenberger,Switzerland
Flugwerkzeuge Aviation Software,Austria
Fly Air,Turkey
Fly CI Limited,United Kingdom
Fly Europa Limited,United Kingdom
Fly Excellent,Sweden
Fly International Airways,Tunisia
Fly Line,Spain
Fly Me Sweden,Sweden
Fly Wex,Italy
AirAsia X,Malaysia
FlyLal,Lithuania
FlyNordic,Sweden
Flybaboo,Switzerland
Flybe,United Kingdom
Flycolumbia,Spain
Flycom,Slovenia
Flygaktiebolaget Gota Vingar,Sweden
Flyglobespan,United Kingdom
Flygprestanda,Sweden
Flygtransporter I Nykoping,Sweden
Flyguppdraget Backamo,Sweden
Flyhy Cargo Airlines,Thailand
Flying Carpet Company,Lebanon
Flying Service,Belgium
Flying-Research Aerogeophysical Center,Russia
Flylink Express,Spain
Flyteam Aviation,United Kingdom
Focus Air,United States
Fokker,Netherlands
Fonnafly,Norway
Ford Motor Company,United Kingdom
Formosa Airlines,Taiwan
Formula One Management,United Kingdom
Forth and Clyde Helicopter Services,United Kingdom
Fortunair Canada,Canada
Forward Air International Airlines,United States
Foster Aviation,United States
Foster Yeoman,United Kingdom
Fotografia F3,Spain
Four Island Air,Antigua and Barbuda
Four Star Aviation / Four Star Cargo,United States
Four Winds Aviation,United States
Foxair,Italy
France Douanes,France
Free Bird Airlines,Turkey
Freedom Air,New Zealand
Freedom Air,United States
Freedom Air Services,Nigeria
Freedom Airlines,United States
Freedom Airways,Cyprus
Freeway Air,Netherlands
Freight Runners Express,United States
Force Aerienne Francaise,France
Aviation Legere De L'Armee De Terre,France
France Marine Nationale,France
Fresh Air,Nigeria
Freshaer,United Kingdom
Friendship Air Alaska,United States
Friendship Airlines,Uganda
Froggy Corporate Aviation,Australia
Frontier Airlines,United States
Frontier Commuter,United States
Frontier Flying Service,United States
Frontier Guard,Finland
Fujairah Aviation Centre,United Arab Emirates
Fujian Airlines,China
Full Express,United States
Fumigacion Aerea Andaluza,Spain
Fun Flying Thai Air Service,Thailand
Fundació Rego,Spain
Funtshi Aviation Service,Democratic Republic of the Congo
Futura Gael,Ireland
Futura International Airways,Spain
G & L Aviation,South Africa
G5 Executive,Germany
GAK/Mitchell Aero,United States
GATSA,Mexico
GB Airlink,United States
GB Airways,United Kingdom
GCS Air Service,United States
GEC Marconi Avionics,United Kingdom
GECAS,Ireland
GENSA,Brazil
GETRA,Equatorial Guinea
GFW Aviation,Australia
GH Stansted Limited,United Kingdom
GM Helicopters,Latvia
GP Express Airlines,United States
GPM Aeroservicio,Mexico
GR-Avia,Guinea
GST Aero Aircompany,Kazakhstan
GTA Air,United States
Ga-Ma Helicoptere,France
Gabon Express,Gabon
Gabon-Air-Transport,Gabon
Gacela Air Cargo,Mexico
Gail Force Express,United States
Gain Jet Aviation,Greece
Galair International,United Kingdom
Galaircervis,Ukraine
Galaxy Air,Kyrgyzstan
Galaxy Airlines,Japan
Galena Air Service,United States
Galileo International,United States
Gama Aviation,United Kingdom
Gambia International Airlines,Gambia
Gambia New Millennium Air,Gambia
Gamisa Aviacion,Spain
Gandalf Airlines,Italy
Gander Aviation,Canada
Garden State Airlines,United States
Garrison Aviation,Canada
Garuda Indonesia,Indonesia
Gatari Hutama Air Services,Indonesia
Gauteng Air Cargo,South Africa
Gavina,Spain
Gazpromavia,Russia
Geesair,Canada
Gemini Air Cargo,United States
Gendall Air,Canada
Gendarmerie Belge,Belgium
Gendarmie Nationale,France
General Aerospace,Canada
General Airways,South Africa
General Aviation,Poland
General Aviation Flying Services,United States
General Aviation Terminal,Canada
General Motors,United States
Genex,Belarus
Geographic Air Surveys,Canada
Georgian Airways,Georgia
Georgian Aviation Federation,Georgia
Georgian Cargo Airlines Africa,Senegal
Georgian National Airlines,Georgia
DLR,Germany
German Air Force,Germany
German Army,Germany
German Navy,Germany
German Sky Airlines,Germany
Germania,Germany
Germanwings,Germany
Gerry's Dnata,Pakistan
Gesekkschaft Fur Flugzieldarstellung,Germany
Gestair,Spain
Gestar,Chile
Gestion Aerea Ajecutiva,Spain
Ghadames Air Transport,Libya
Ghana Airways,Ghana
Ghana International Airlines,Ghana
Gibson Aviation,United States
Global Air Charter,United States
Global Air Operations,Comoros
Global Air Services Nigeria,Nigeria
Global Aircargo,Bahrain
Global Airways,Democratic Republic of Congo
Global Aviation Operations,South Africa
Global Aviation and Services Group,Libya
Global Georgian Airways,Georgia
Global Jet Austria,Austria
Global Jet Corporation,United States
Global Jet Luxembourg,Luxembourg
Global Sky Aircharter,United States
Global Supply Systems,United Kingdom
Global System,United States
Global Weather Dynamics,United States
Global Wings,Japan
Globe Jet,Lebanon
Go Air,India
Go One Airways,United Kingdom
GoJet Airlines,United States
Gobierno De Guinea Ecuatorial,Equatorial Guinea
Gof-Air,Mexico
Gofir,Switzerland
Gol Transportes Aéreos,Brazil
Gold Belt Air Transport,Canada
GoldAir,United Kingdom
Goldeck-Flug,Austria
Golden Air,Sweden
Golden Airlines,United States
Golden Pacific Airlines,United States
Golden Rule Airlines,Kyrgyzstan
Golden Star Air Cargo,Sudan
Goldfields Air Services,Australia
Golfe Air Quebec,Canada
Goliaf Air,Sao Tome and Principe
Gomel Airlines,Belarus
Goodridge (UK) Limited,United Kingdom
Gorkha Airlines,Nepal
Gorlitsa Airlines,Ukraine
Government Flying Service,Hong Kong SAR of China
Government of Zambia Communications Flight,Zambia
Grampian Flight Centre,United Kingdom
Granada Aviacion,Spain
Grand Aire Express,United States
Grand Airways,United States
Grand Canyon Airlines,United States
Grant Aviation,United States
Grantex Aviation,United Kingdom
Great American Airways,United States
Great Lakes Airlines,United States
Great Lakes Airways (Uganda),Uganda
Great Plains Airlines,United States
Great Wall Airlines,China
Great Western Air,United States
Hellenic Air Force,Greece
Greek Navy,Greece
Griffin Aviation,Cyprus
Grixona,Moldova
Grizodubova Air Company,Russia
Grossmann Air Service,Austria
Grossmann Jet Service,Czech Republic
Ground Handling Service de Mexico,Mexico
Grup Air-Med,Spain
Grupo De Aviacion Ejecutiva,Mexico
Grupo TACA,Costa Rica
Grupo Vuelos Mediterraneo,Spain
Grupoaereo Monterrey,Mexico
Guard Systems,Norway
Guine Bissaur Airlines,Guinea-Bissau
Guinea Airways,Guinea
Guinea Cargo,Equatorial Guinea
Guinee Airlines,Guinea
Guinea Ecuatorial Airlines,Equatorial Guinea
Guinee Paramount Airlines,Guinea
Guizhou Airlines,China
Guja,Mexico
Gujarat Airways,India
Gulf & Caribbean Cargo / Contract Air Cargo,United States
Gulf Air,Oman
Gulf Air Bahrain,Bahrain
Gulf Air Inc,United States
Gulf Central Airlines,United States
Gulf Flite Center,United States
Gulf Pearl Air Lines,Libya
Gulfstream Aerospace,United States
Gulfstream Airlines,United States
Gulfstream International Airlines,United States
Gull Air,United States
Gum Air,Suriname
Guneydogu Havacilik Isletmesi,Turkey
Gwyn Aviation,United Kingdom
HC Airlines,United Kingdom
HPM Investments,United Kingdom
HT Helikoptertransport,Sweden
HTA Helicopteros,Portugal
Hadison Aviation,United States
Hageland Aviation Services,United States
Hagondale Limited,United Kingdom
Hahn Air,Germany
Hainan Airlines,China
Hainan Phoenix Information Systems,China
Haiti Air Freight,Haiti
Haiti Ambassador Airlines,Haiti
Haiti International Air,Haiti
Haiti International Airline,Haiti
Haiti National Airlines (HANA),Haiti
Haiti North Airline,Haiti
Haiti Trans Air,Haiti
Haitian Aviation Line,Haiti
Hajvairy Airlines,Pakistan
Hak Air,Nigeria
Hala Air,Sudan
Halcyon Air/Bissau Airways,Guinea-Bissau
Hamburg International,Germany
Hamlin Jet,United Kingdom
Hamra Air,United Arab Emirates
Hand D Aviation,United States
Hangar 8,United Kingdom
Hangard Aviation,Mongolia
Hansung Airlines,Republic of Korea
TUIfly,Germany
Hapagfly,Germany
Harbor Airlines,United States
Harmony Airways,Canada
Haughey Air,United Kingdom
Haverfordwest Air Charter Services,United Kingdom
Havilah Air Services,Nigeria
Hawaiian Airlines,United States
Hawaiian Pacific Airlines,United States
Hawk Air,Argentina
Hawk De Mexico,Mexico
Hawkair,Canada
Hawkaire,United States
Hazelton Airlines,Australia
Heavylift Cargo Airlines,Australia
Heavylift International,United Arab Emirates
Helcopteros De Cataluna,Spain
Helenair (Barbados),Barbados
Helenair Corporation,Saint Lucia
Helenia Helicopter Service,Denmark
Heli Air Services,Bulgaria
Heli Ambulance Team,Austria
Heli Bernina,Switzerland
Heli France,France
Heli Hungary,Hungary
Heli Medwest De Mexico,Mexico
Heli Securite,France
Heli Trip,Mexico
Heli Union Heli Prestations,France
Heli-Air-Monaco,Monaco
Heli-Holland,Netherlands
Heli-Iberica,Spain
Heli-Iberica Fotogrametria,Spain
Heli-Inter Guyane,France
Heli-Link,Switzerland
Heliamerica De Mexico,Mexico
Heliavia-Transporte Aereo,Portugal
Heliaviation Limited,United Kingdom
Helibravo Aviacao,Portugal
Helicap,France
Helicentre Coventry,United Kingdom
Helicol,Colombia
Helicopter,Czech Republic
Helicopter & Aviation Services,United Kingdom
Helicopter Training & Hire,United Kingdom
Helicopteros Aero Personal,Mexico
Helicopteros Agroforestal,Chile
Helicopteros Internacionales,Mexico
Helicopteros Y Vehiculos Nacionales Aereos,Mexico
Helicsa,Spain
Helijet,Canada
Helikopterdrift,Norway
Helikopterservice Euro Air,Sweden
Heliocean,France
Helios Airways,Cyprus
Helipistas,Spain
Heliportugal,Portugal
Heliservicio Campeche,Mexico
Helisul,Portugal
Heliswiss,Switzerland
Helitafe,Mexico
Helitalia,Italy
Helitaxi Ofavi,Mexico
Helitrans,Norway
Helitrans Air Service,United States
Heliworks,Chile
Hellas Jet,Greece
Hello,Switzerland
Helog,Switzerland
Helvetic Airways,Switzerland
Hemus Air,Bulgaria
Henebury Aviation,Australia
Heritiage Flight (Valley Air Services),United States
Herman's Markair Express,United States
Herritage Aviation Developments,United Kingdom
Hewa Bora Airways,Democratic Republic of the Congo
Hex'Air,France
Hi-Jet Helicopter Services,Suriname
Hi Fly,Portugal
High-Line Airways,Canada
Highland Airways,United Kingdom
Hispaniola Airways,Dominican Republic
Hogan Air,United States
Hokkaido Air System,Japan
Hokkaido International Airlines,Japan
Hokuriki-Koukuu Company,Japan
Hola Airlines,Spain
Holding International Group,Mexico
Holiday Airlines,United States
Holstenair Lubeck,Germany
Homac Aviation,Luxembourg
Honduras Airlines,Honduras
Hong Kong Airlines,Hong Kong SAR of China
Hong Kong Express Airways,Hong Kong SAR of China
Honiara Cargo Express,Solomon Islands
Hop-A-Jet,United States
Hope Air,Canada
Horizon Air,United States
Horizon Air Service,United States
Horizon Air for Transport and Training,Libya
Horizon Air-Taxi,Switzerland
Horizon Airlines,Australia
Horizon Plus,Bangladesh
Horizons Unlimited,United States
Horizontes Aereos,Mexico
Hoteles Dinamicos,Mexico
Houston Helicopters,United States
Houston Jet Services,Austria
Hozu-Avia,Kazakhstan
Hub Airlines,United States
Huessler Air Service,United States
Hughes Aircraft Company,United States
Hummingbird Helicopter Service,United States
Hunair Hungarian Airlines,Hungary
Hungarian Air Force,Hungary
Hyack Air,Canada
Hydro Air Flight Operations,South Africa
Hydro-Québec,Canada
Héli Sécurité Helicopter Airlines,France
International Air Carrier Association,Belgium
IBC Airways,United States
IBL Aviation,Mauritius
IBM Euroflight Operations,Switzerland
ICAR Airlines,Ukraine
ICC Canada,Canada
IDG Technology Air,Czech Republic
IFL Group,United States
II Lione Alato Arl,United Kingdom
IJM International Jet Management,Austria
IKI International Airlines,Japan
IKON FTO,Germany
IMP Aviation Services,Canada
IMP Group Aviation Services,Canada
INFINI Travel Information,Japan
IPEC Aviation,Australia
IPM Europe,United Kingdom
IRS Airlines,Nigeria
ISD Avia,Ukraine
ITA Software,United States
IVV Femida,Russia
Iberia Airlines,Spain
Ibertour Servicios Aereos,Spain
Ibertrans Aerea,Spain
Iberworld,Spain
Ibex Airlines,Japan
Ibicenca Air,Spain
Ibk-Petra,Sudan
Icar Air,Bosnia and Herzegovina
Icare Franche Compte,France
Icaro,Ecuador
Icaro,Italy
Icarus,Italy
Icejet,Iceland
Icelandair,Iceland
Icelandic Coast Guard,Iceland
Ikaros DK,Denmark
Il Ciocco International Travel Service,Italy
Il-Avia,Russia
Ildefonso Redriguez,Mexico
Iliamna Air Taxi,United States
Ilpo Aruba Cargo,Aruba
Ilyich-Avia,Ukraine
Imaer,Portugal
Imair Airlines,Azerbaijan
Imperial Airways,United States
Imtrec Aviation,Cambodia
Independence Air,United States
Independent Air Freighters,Australia
IndiGo Airlines,India
India International Airways,India
Indian Air Force,India
Indian Airlines,India
Indicator Company,Hungary
Indigo,United States
Indonesia Air Transport,Indonesia
Indonesia AirAsia,Indonesia
Indonesian Airlines,Indonesia
Industri Pesawat Terbang Nusantara,Indonesia
Industrias Titan,Spain
Infinit Air,Spain
Inflite The Jet Centre,United Kingdom
Innotech Aviation,Canada
Insel Air International,Netherlands Antilles
Instituto Cartografico de Cataluna,Spain
Intair,Canada
Intal Avia,Kyrgyzstan
Intavia Limited,United Kingdom
InteliJet Airways,Colombia
Intensive Air,South Africa
Inter Air,Bulgaria
Inter Express,Turkey
Inter Islands Airlines,Cape Verde
Inter RCA,Central African Republic
Inter Tropic Airlines,Sierra Leone
Inter-Air,United States
Inter-Canadian,Canada
Inter-Island Air,United States
Inter-Mountain Airways,United States
Inter-State Aviation,United States
Interair South Africa,South Africa
Interaire,Mexico
Interavia Airlines,Russia
Interaviatrans,Ukraine
Intercontinental de Aviaci,Colombia
Intercopters,Spain
Interflight,United Kingdom
Interflight (Learjet),United Kingdom
Interfly,Italy
Interfreight Forwarding,Sudan
Interguide Air,Nigeria
Interisland Airlines,Philippines
Interisland Airways Limited,Turks and Caicos Islands
Interjet,Italy
Interjet Helicopters,Greece
Interlink Airlines,South Africa
International Air Cargo Corporation,Egypt
International Air Corporation,United States
International Air Service,United States
International Air Services,Liberia
International Business Air,Sweden
International Business Aircraft,United States
International Charter Services,Mexico
International Charter Xpress,United States
International Committee of the Red Cross,Switzerland
International Company for Transport,ALDAWLYH AIR
International Flight Training Academy,United States
International Jet Aviation Services,United States
International Jet Charter,United States
International SOS WIndhoek,Namibia
International Sabilisation Assistance Force,United Kingdom
International Security Assistance Force,Canada
International Trans-Air,Nigeria
Interport Corporation,United States
Intersky,Bulgaria
Intersky,Austria
Interstate Airline,Netherlands
Intervuelos,Mexico
Inversija,Latvia
Iona National Airways,Ireland
Iowa Airways,United States
Iran Air,Iran
Iran Aseman Airlines,Iran
Iranair Tours,Iran
Naft Air Lines,Iran
Iraqi Airways,Iraq
Irbis Air,Kazakhstan
Irish Air Corps,Ireland
Irish Air Transport,Ireland
Irish Aviation Authority,Ireland
Irtysh Airlines,Uzbekistan
Irving Oil,Canada
Irving Oil Transport,Canada
Island Air,Mexico
Island Air Charters,United States
Island Air Express,United States
Island Airlines,United States
Island Aviation,Philippines
Island Aviation Services,Maldives
Island Aviation and Travel,United Kingdom
Island Express,United States
Cargo Plus Aviation,United Arab Emirates
Island Helicopters,United States
