Name,City,Country,Latitude,Longitude,Airport ID,IATA,ICAO
Vancouver International Seaplane Base,Vancouver,Canada,49.177047,-123.168154,12090,\N,CAM9
Bressaucourt Airport,Bressaucourt-Porrentruy,Switzerland,47.392677,7.028648,12096,\N,LSZQ
Parakou Airport,Parakou,Benin,9.35768985748291,2.609679937362671,12104,PKO,DBBP
Kandi Airport,Kandi,Benin,11.14479,2.940381,12106,KDC,DBBK
Sokodé Airport,Sokode,Togo,8.994275,1.153004,12109,\N,DXSK
Sansanné-Mango Airport,Mango,Togo,10.373010635375977,0.4713821411132813,12110,\N,DXMG
Arnbruck Airport,Arnbruck,Germany,49.12472152709961,12.985555648803713,12133,\N,EDNB
Jacarepaguá - Roberto Marinho Airport,Rio de Janeiro,Brazil,-22.987499,-43.369999,12163,\N,SBJR
Hacaritama Airport,Aguachica,Colombia,8.247,-73.5814,12165,\N,SKAG
Hermannsburg Airport,Hermannsburg,Australia,-23.93000030517578,132.80499267578122,12172,HMG,YHMB
Mount Davies Airport,Pipalyatjara,Australia,-26.16670036315918,129.13299560546878,12182,\N,YMDV
Areyonga Airport,Areyonga,Australia,-24.06669998168945,132.26699829101562,12183,\N,YARN
Tracy Municipal Airport,Tracy,United States,37.68899917602539,-121.44200134277344,12185,\N,KTCY
Mount Allan Airport,Yuelamu,Australia,-22.27499961853028,132.21699523925778,12217,\N,YMNA
Everard Park Airport,Mimili,Australia,-27.016700744628903,132.71699523925778,12218,\N,YEVP
Warrabri Airport,Ali-Curung,Australia,-21.0,134.39700317382812,12219,\N,YWBI
Krefeld-Egelsberg Airport,Krefeld,Germany,51.3849983215332,6.587778091430664,12310,\N,EDLK
Baidoa Airport,Baidoa,Somalia,3.102220058441162,43.62860107421875,12311,BIB,HCMB
Ampilatwatja Airport,Ampilatwatja,Australia,-21.655000686645508,135.22999572753906,12340,\N,YAMJ
Kings Creek Airport,Petermann,Australia,-24.42329978942871,131.83500671386722,12360,KCS,YKCS
Harts Range Airport,Harts Range,Australia,-22.98500061035156,134.91799926757812,12361,\N,YHTS
Elliott Airport,Elliott,Australia,-17.527429580688473,133.52989196777344,12391,\N,YELL
Papunya Airport,Papunya,Australia,-23.24670028686523,131.90299987792972,12392,\N,YPAY
Fregon Airport,Fregon,Australia,-26.77499961853028,132.01699829101562,12444,\N,YFRG
Mount Liebig Airport,Mt Liebig,Australia,-23.24329948425293,131.25999450683594,12445,\N,YLBG
Bolton Field,Columbus,United States,39.90119934082031,-83.13690185546875,12469,\N,KTZR
Baltrum Airport,Baltrum,Germany,53.72472381591797,7.373332977294923,12470,BMR,EDWZ
Skagit Regional Airport,Skagit,United States,48.470901489300005,-122.42099762,12528,MVW,KBVS
Goondiwindi Airport,Goondiwindi,Australia,-28.52140045166016,150.32000732421875,12618,GOO,YGDI
Liman Airfield,Odesa,Ukraine,46.57851,30.703053000000004,12619,\N,UKOE
Lognes Emerainville Airport,Lognes,France,48.821028000000005,2.625967,12640,\N,LFPL
Marion County Brown Field,Jasper,United States,35.060699,-85.585297,12672,APT,KAPT
Evergreen Regional Airport/Middleton Field,Evergreen,United States,31.4158,-87.043999,12673,\N,KGZH
Pryor Field Regional Airport,Decatur,United States,34.6526985168,-86.94539642330002,12675,DCU,KDCU
Glasgow Municipal Airport,Glasgow,United States,37.03179932,-85.95369720000001,12676,GLW,KGLW
Danielson Airport,Danielson,United States,41.81969833374024,-71.9010009765625,12796,\N,KLZD
Docker River Airport,Docker River,Australia,-24.86000061035156,129.07000732421878,12844,DKV,YDVR
Clearfield Lawrence Airport,Clearfield,United States,41.04859924316406,-78.41310119628906,12856,\N,KFIG
Jasper County Airport,Rensselaer,United States,40.9478988647,-87.18260192870001,12873,RNZ,KRZL
Ti Tree Airport,Ti Tree,Australia,-22.13170051574707,133.41999816894528,12918,\N,YTIT
Sabetta International Airport,Sabetta,Russia,71.219167,72.052222,12919,SBT,USDA
Alxa Left Banner Bayanhot Airport,Alxa Left Banner,China,38.74831,105.58858,12921,AXF,ZBAL
El Fuentero Airport,Svenborg,Denmark,7.099999904632568,-69.58333587646484,12931,\N,SVFT
Sturgate Airfield,Eger,Hungary,53.38109970092773,-0.6852779984474182,12941,\N,EGCS
Simberi Airport,Simberi Island,Papua New Guinea,-2.66222222222,151.997777778,12945,NIS,AYSE
Bulolo Airport,Bulolo,Papua New Guinea,-7.216286671410002,146.649541855,12946,BUL,AYBU
Kintore Airport,Kintore,Australia,-23.26499938964844,129.38699340820312,12948,\N,YKNT
Statesboro Bulloch County Airport,Statesboro,United States,32.4827003479,-81.73690032959998,12950,TBR,KTBR
Utopia Airport,Utopia,Australia,-22.05500030517578,134.78999328613278,12951,\N,YUTP
Nyrripi Airport,Nyirripi,Australia,-22.645299911499023,130.56500244140622,12957,\N,YNRR
Amata Airport,Amata,Australia,-26.10829925537109,131.20700073242188,12958,AMT,YAMT
Glacier Country Heliport,Franz Josef,New Zealand,-43.38722,170.18,12961,\N,NZGH
Erldunda Airport,Erldunda,Australia,-25.2057991028,133.253997803,12979,EDD,YERL
Helisul I Heliport,Foz do Iguassu,Brazil,-25.604167938232425,-54.49361038208008,12980,\N,SSHH
Finke Airport,Finke,Australia,-25.5946998596,134.582992554,12984,FIK,YFNE
Humberto Ghizzo Bortoluzzi Regional Airport,Jaguaruna,Brazil,-28.6753,-49.0596,12987,JJG,SBJA
Nypari Airport,Angatja Homeland,Australia,-26.20000076293945,130.23300170898438,13004,\N,YNYP
Ihtiman Airfield,Ihtiman,Bulgaria,42.421890000000005,23.767221,13006,\N,LBHT
Vogtareuth Airport,Vogtareuth,Germany,47.94610977172852,12.20472240447998,13009,\N,EDNV
[Duplicate] Illertissen see EDMI - ED-0425 location moved out-of-the way,Not Specified,New Zealand,89.5,0.0001,13011,\N,XXXX
New Smyrna Beach Municipal Airport,New Smyrna Beach,United States,29.055700302124023,-80.94889831542969,13016,\N,KEVB
Las Vegas Helicopters Heliport,Las vegas,United States,36.10810089111328,-115.17400360107422,13018,\N,NV03
Delta Camp Airport,Delta Camp,Botswana,-19.5323,23.0925,13019,\N,FBDT
Hwange (Town) Airport,Hwange,Zimbabwe,-18.362967,26.519791,13020,WKI,FVWT
Harbour (Public) Heliport,Vancouver,Canada,49.2868921105,-123.106112257,13022,\N,CBC7
Victoria Harbour (Camel Point) Heliport,Victoria,Canada,48.41809844970703,-123.38800048828124,13023,\N,CBF7
Shushenskoye Airport,Shushenskoye,Russia,53.3849983215332,92.04499816894533,13032,\N,UNAU
Stockerau Airport,Stockerau,Austria,48.40999984741211,16.191699981689453,13066,\N,LOAU
Klaipėda Airport,Klaipeda,Lithuania,55.7118988037,21.2427997589,13069,KLJ,EYKL
Iowa County Airport,MINERAL POINT,United States,42.886799,-90.236198,13072,\N,KMRJ
West Bend Municipal Airport,WEST BEND,United States,43.4221992493,-88.1278991699,13074,ETB,KETB
